proj_id,regis_id,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,Firm Name,permit_us_investment,AIMC Category,type,last_upd_date,asset_lv3_name,asset_lv3_code,asset_lv2_name,asset_lv2_code,asset_lv1_name,asset_lv1_code,status
M0746_2550,353_2550,โครงการจัดการกองทุนเปิดวรรณเดลี่,1 A.M. Daily,1AM-DAILY,RG,C0000000569,One Asset Management Ltd,Y,Money Market General,Other,2018-12-17T05:05:56,Money Market General,FIXMMGEN,ตลาดเงิน,CASHTH,ตลาดเงิน,CASH-TH,avaliable
M0843_2548,205_2548,กองทุนเปิดวรรณเอเอ็ม โกลบอล อีเมอร์จิ้ง มาร์เก็ต เอควิตี้,1 A.M. Global Emerging Market Equity,1AM-GEM,RG,C0000000569,One Asset Management Ltd,Y,Emerging Market,Other,2018-12-17T05:05:56,Emerging Market,EQGEM,ตลาดเกิดใหม่,EQGEM,ตราสารทุนตลาดเกิดใหม่,EQEM,avaliable
M0626_2551,545_2551,กองทุนเปิดวรรณพันธบัตรไทย,1 A.M. Thai Government Bond,1AM-TG,RG,C0000000569,One Asset Management Ltd,N,Short Term Government Bond,Other,2018-12-17T05:05:56,Short Term Government Bond,FIXGOV,พันธบัตรไทย,BONDTH,พันธบัตร,BOND-TH,avaliable
M0728_2547,118_2547,กองทุนเปิดวรรณเอเอ็ม โกลบอล บอนด์,1 A.M. Global Bond,1AMGBF,RG,C0000000569,One Asset Management Ltd,Y,Global Bond Discretionary F/X Hedge or Unhedge,Other,2018-12-17T05:05:56,Global Bond Discretionary F/X Hedge or Unhedge,FIXGLDISC,พันธบัตรต่างประเทศ,BONDINT,พันธบัตร,BOND-TH,avaliable
M0032_2551,154_2551,กองทุนเปิดวรรณเอเอ็ม โกลบอล ฟิกซ์ อินคัม ฟันด์,1 A.M. Global Flexible,1AMGFF,RG,C0000000569,One Asset Management Ltd,N,Global Bond Discretionary F/X Hedge or Unhedge,Other,2018-12-17T05:05:56,Global Bond Discretionary F/X Hedge or Unhedge,FIXGLDISC,พันธบัตรต่างประเทศ,BONDINT,พันธบัตร,BOND-TH,avaliable
M0437_2554,MF0442_2554,กองทุนเปิดไทยเด็กซ์ SET High Dividend ETF,ThaiDEX SET High Dividend ETF,1DIV,RG,C0000000569,One Asset Management Ltd,Y,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0276_2554,MF0232_2554,กองทุนเปิดวรรณตราสารหนี้ 3M1,1 A.M. Fixed Income 3M1,1FIX-3M1,LI,C0000000569,One Asset Management Ltd,-,Miscellaneous,Other,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0430_2550,044_2551,กองทุนเปิด วรรณ โกลบอล ออพพอร์ทูนิตี้ บอนด์ ฟันด์,1 A.M. Global Opportunity Bond,1GLOBALBOND,RG,C0000000569,One Asset Management Ltd,Y,Global Bond Discretionary F/X Hedge or Unhedge,Other,2018-12-17T05:05:56,Global Bond Discretionary F/X Hedge or Unhedge,FIXGLDISC,พันธบัตรต่างประเทศ,BONDINT,พันธบัตร,BOND-TH,avaliable
M0597_2547,069_2547,กองทุนเปิดวรรณเอเอ็มซีเล็คทีฟหุ้นระยะยาว,1 A.M. Selective Long Term Equity,1S-LTF,RG,C0000000569,One Asset Management Ltd,Y,Equity General,LTF,2018-12-17T05:05:56,Equity General,EQGEN,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
M0364_2548,075_2548,กองทุนเปิดวรรณเอเอ็มซีเล็คทีฟโกรทหุ้นระยะยาว,1 A.M. Selective Growth Long Term Equity,1SG-LTF,RG,C0000000569,One Asset Management Ltd,Y,Equity General,LTF,2018-12-17T05:05:56,Equity General,EQGEN,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
M0199_2550,180_2550,โครงการจัดการกองทุนเปิดวรรณเอเอ็มสมาร์ทหุ้นระยะยาว,1 A.M. Smart Long Term Equity,1SMART-LTF,RG,C0000000569,One Asset Management Ltd,Y,Miscellaneous,LTF,2018-12-17T05:05:56,Miscellaneous,,อสังหาฯ,REIT,อสังหาฯ,REIT-TH,unavailable
M0235_2551,266_2551,กองทุนเปิด วรรณ ยูเอส รีคอฟเวอรี่ ออพพอร์ทูนิตี้ ฟันด์,1 A.M. US Recovery Opportunity,1US-OPP,RG,C0000000569,One Asset Management Ltd,Y,Foreign Investment Allocation,Other,2018-12-17T05:05:56,Foreign Investment Allocation,,,,,,unavailable
M0280_2548,073_2548,กองทุนเปิดวรรณเอเอ็มหุ้นคุณค่าปันผล,1 A.M. Value Stock Dividend,1VAL-D,RG,C0000000569,One Asset Management Ltd,N,Equity General,Other,2018-12-17T05:05:56,Equity General,EQGEN,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
M0242_2550,176_2550,กองทุนเปิด 70/30 ปันผล หุ้นระยะยาว,70/30 - Div Long Term Equity,70/30-D LTF,RG,C0000000623,"UOB Asset Management (Thailand) Co., Ltd",-,Equity General,LTF,2018-12-17T05:05:56,Equity General,EQGEN,ตราสารทุนไทย,EQTH,ตราสารทุนไทย,EQ-TH,avaliable
M0584_2553,535_2553,กองทุนเปิด อเบอร์ดีน สแตนดาร์ด อเมริกัน โกรท ฟันด์,Aberdeen American Growth,ABAG,RG,C0000000290,Aberdeen Asset Management Ltd (Thailand),-,US Equity,Other,2018-12-17T05:05:56,US Equity,EQUS,ตราสารทุนสหรัฐฯ,EQUS,ตลาดพัฒนาแล้ว,EQDEL,avaliable
