nav_date,net_asset,last_val,previous_val,sell_price,buy_price,sell_swap_price,buy_swap_price,remark_th,remark_en
2020-05-05,1130353900.85,12.8856,13.1298,12.9501,12.8856,0.0,0.0, , 
2020-04-30,1152354195.29,13.1298,12.9477,13.1955,13.1298,0.0,0.0, , 
2020-04-29,1136238727.61,12.9477,12.8573,13.0125,12.9477,0.0,0.0, , 
2020-04-28,1131934116.66,12.8573,12.7578,12.9217,12.8573,0.0,0.0, , 
2020-04-27,1123222345.14,12.7578,12.702,12.8217,12.7578,0.0,0.0, , 
2020-04-24,1121727295.68,12.702,12.8264,12.7656,12.702,0.0,0.0, , 
2020-04-23,1132420771.7,12.8264,12.7393,12.8906,12.8264,0.0,0.0, , 
2020-04-22,1125042907.37,12.7393,12.5864,12.8031,12.7393,0.0,0.0, , 
2020-04-21,1112012365.8,12.5864,12.639,12.6494,12.5864,0.0,0.0, , 
2020-04-20,1116667406.85,12.639000000000001,12.4059,12.7023,12.639000000000001,0.0,0.0, , 
2020-04-17,1099005128.16,12.4059,12.067,12.468,12.4059,0.0,0.0, , 
2020-04-16,1072268280.95,12.067,12.4137,12.1274,12.067,0.0,0.0, , 
2020-04-15,1105328932.13,12.4137,12.5938,12.4759,12.4137,0.0,0.0, , 
2020-04-14,1121400893.62,12.5938,12.3453,12.6569,12.5938,0.0,0.0, , 
2020-04-13,1098151602.91,12.3453,12.1991,12.4071,12.3453,0.0,0.0, , 
2020-04-10,1085268940.59,12.1991,12.0466,12.2602,12.1991,0.0,0.0, , 
2020-04-09,1063422386.93,12.0466,12.0132,12.1069,12.0466,0.0,0.0, , 
2020-04-08,1060159873.48,12.0132,12.0137,12.0734,12.0132,0.0,0.0, , 
2020-04-07,1057672241.74,12.0137,11.4237,12.0739,12.0137,0.0,0.0, , 
2020-04-03,1006087022.36,11.4237,11.3883,11.4809,11.4237,0.0,0.0, , 
2020-04-02,1002949133.52,11.3883,11.0953,11.4453,11.3883,0.0,0.0, , 
2020-04-01,977069928.62,11.0953,11.2511,11.1509,11.0953,0.0,0.0, , 
2020-03-31,990669822.99,11.2511,10.923,11.3075,11.2511,0.0,0.0, , 
2020-03-30,961801783.65,10.923,11.0523,10.9777,10.923,0.0,0.0, , 
2020-03-27,973298750.5,11.0523,10.9381,11.1077,11.0523,0.0,0.0, , 
2020-03-26,963678939.44,10.9381,10.8016,10.9929,10.9381,0.0,0.0, , 
2020-03-25,951563295.33,10.8016,10.349,10.8557,10.8016,0.0,0.0, , 
2020-03-24,917772352.07,10.349,10.2706,10.4008,10.349,0.0,0.0, , 
2020-03-23,911950344.38,10.2706,11.2456,10.3221,10.2706,0.0,0.0, , 
2020-03-20,1004714706.95,11.2456,10.4276,11.3019,11.2456,0.0,0.0, , 
2020-03-19,931779458.34,10.4276,10.3359,10.4798,10.4276,0.0,0.0, , 
2020-03-18,923540525.27,10.3359,10.217,10.3877,10.3359,0.0,0.0, , 
2020-03-17,912856844.42,10.217,10.359000000000002,10.2682,10.217,0.0,0.0, , 
2020-03-16,925518999.74,10.359000000000002,11.092,10.4109,10.359000000000002,0.0,0.0, , 
2020-03-13,991156047.49,11.092,10.9106,11.1476,11.092,0.0,0.0, , 
2020-03-12,974686117.92,10.9106,12.2342,10.9653,10.9106,0.0,0.0, , 
2020-03-11,1093257151.0,12.2342,12.4261,12.2955,12.2342,0.0,0.0, , 
2020-03-10,1110421675.75,12.4261,12.2933,12.4883,12.4261,0.0,0.0, , 
2020-03-09,1094262236.77,12.2933,13.239,12.3549,12.2933,0.0,0.0, , 
2020-03-06,1178479219.72,13.239,13.448,13.3053,13.239,0.0,0.0, , 
2020-03-05,1196952636.65,13.448,13.3549,13.5153,13.448,0.0,0.0, , 
2020-03-04,1188665601.22,13.3549,13.3343,13.4218,13.3549,0.0,0.0, , 
2020-03-03,1188506867.89,13.3343,12.9608,13.4011,13.3343,0.0,0.0, , 
2020-03-02,1156326668.99,12.9608,13.0439,13.0257,12.9608,0.0,0.0, , 
2020-02-28,1165519536.62,13.0439,13.47,13.1092,13.0439,0.0,0.0, , 
2020-02-27,1203795161.75,13.47,13.1907,13.5375,13.47,0.0,0.0, , 
2020-02-26,1207718755.82,13.1907,13.8533,13.2568,13.1907,0.0,0.0, , 
2020-02-25,1270616300.59,13.8533,13.7984,13.9227,13.8533,0.0,0.0, , 
2020-02-24,1265613223.87,13.7984,14.3588,13.8675,13.7984,0.0,0.0, , 
2020-02-21,1314219861.09,14.3588,14.2999,14.4307,14.3588,0.0,0.0, , 
2020-02-20,1313487533.62,14.2999,14.3937,14.3715,14.2999,0.0,0.0, , 
2020-02-19,1323612501.72,14.3937,14.4266,14.4658,14.3937,0.0,0.0, , 
2020-02-18,1326723752.14,14.4266,14.5526,14.4988,14.4266,0.0,0.0, , 
2020-02-17,1338329941.81,14.5526,14.5147,14.6255,14.5526,0.0,0.0, , 
